category,name,price,description,veg_nonveg,spice_level
Chicken Feast,Spicy Chicken Bombs,₹119,Tender & Juicy Meat Balls| Guntur Chilli Seasoning | Bliss for Chicken Lovers,Non-Veg,Spicy
Chicken Feast,Tangy Tomato Cheesiken,₹169,"Tender Chicken| Tangy Tomato Sauce| Molten Cheese| Crunchy Veggies - Onion, Paprika & Capsicum",Non-Veg,Normal
Chicken Feast,Garlic Cheesiken,₹169,"Tender Chicken| Creamy Garlic Sauce| Molten cheese| Crunchy Veggies - Onion, Paprika & Capsicum",Non-Veg,Normal
Chicken Feast,Hot & Fiery Cheesiken,₹169,"Juicy Chicken| Spicy Guntur Chilli Sauce | Molten Cheese with Veggies - Onion, Black Olives & Capsicum",Non-Veg,Spicy
Chicken Feast,Tangy Tomato Cheesiken Rice,₹219,"Tender Chicken| Zesty Tomato Sauce| Molten Cheese with Rice & Veggies - Onion, Paprika & Capsicum",Non-Veg,Normal
Chicken Feast,Garlic Cheesiken Rice,₹219,"Juicy Chicken| Creamy Garlic Sauce| Molten Cheese with Rice & Veggies - Onion, Jalapeno & Capsicum",Non-Veg,Normal
Chicken Feast,Hot & Fiery Cheesiken Rice,₹219,"Tender Chicken| Guntur Chilli Sauce| Molten Cheese with Rice & Veggies - Onion, Olive & Capsicum",Non-Veg,Spicy
Chicken Feast,Peri Peri Dip,₹37.14,A spicy and tangy dip with bold peri peri flavors!,Veg,Spicy
Chicken Feast,Cream and Onion Dip,₹37.14,"A rich and creamy dip with a delicious blend of onion and spices, inspired by international flavors!",Veg,Normal
Chicken Feast,Rich Garlic Dip,₹37.14,"A creamy dip with a rich, bold garlic flavor!",Veg,Normal
Chicken Feast,Korean Sweet Chilli Dip,₹37.14,A sweet and spicy dip inspired by bold Korean flavors!,Veg,Spicy
Chicken Burst,Garlic Chicken Burst Pizza (Reg),₹449,"Ultimate 2-layered Chicken Indulgence. Stuffed inside with juicy, garlicky chicken keema & topped with a medley of Peri Peri, BBQ & Chicken Rashers , finished with a drizzle of Garlic Sauce.",Non-Veg,Spicy
Chicken Burst,Tandoori Chicken Burst Pizza (Reg),₹449,"Ultimate 2-layered Chicken Indulgence. Stuffed inside with juicy, garlicky chicken keema & topped with a medley of Peri Peri, BBQ & Chicken Rashers , finished with a drizzle of Tandoori Sauce.",Non-Veg,Spicy
Chicken Burst,Shawarma Chicken Burst Pizza (Reg),₹449,"Ultimate 2-layered Chicken Indulgence. Stuffed inside with juicy, garlicky chicken keema & topped with a medley of Peri Peri, BBQ & Chicken Rashers , finished with a drizzle of Shawarma Sauce.",Non-Veg,Spicy
Chicken Burst,Korean Chicken Burst Pizza (Reg),₹449,"Ultimate 2-layered Chicken Indulgence. Stuffed inside with juicy, garlicky chicken keema & topped with a medley of Peri Peri, BBQ & Chicken Rashers , finished with a drizzle of Korean Sauce.",Non-Veg,Spicy
Chicken Burst,Southern Spice Chicken Burst Pizza (Reg),₹449,"Ultimate 2-layered Chicken Indulgence. Stuffed inside with juicy, garlicky chicken keema & topped with a medley of Peri Peri, BBQ & Chicken Rashers , finished with a drizzle of Guntur Chilli Sauce.",Non-Veg,Spicy
Chicken Burst,Tandoori Chicken Burst Pizza (Med),₹849,"Ultimate 2-layered Chicken Indulgence. Stuffed inside with juicy, garlicky chicken keema & topped with a medley of Peri Peri, BBQ & Chicken Rashers , finished with a drizzle of Tandoori Sauce.",Non-Veg,Spicy
Chicken Burst,Garlic Chicken Burst Pizza (Med),₹849,"Ultimate 2-layered Chicken Indulgence. Stuffed inside with juicy, garlicky chicken keema & topped with a medley of Peri Peri, BBQ & Chicken Rashers , finished with a drizzle of Garlic Sauce.",Non-Veg,Spicy
Chicken Burst,Korean Chicken Burst Pizza (Med),₹849,"Ultimate 2-layered Chicken Indulgence. Stuffed inside with juicy, garlicky chicken keema & topped with a medley of Peri Peri, BBQ & Chicken Rashers , finished with a drizzle of Korean Sauce.",Non-Veg,Spicy
Chicken Burst,Shawarma Chicken Burst Pizza (Med),₹849,"Ultimate 2-layered Chicken Indulgence. Stuffed inside with juicy, garlicky chicken keema & topped with a medley of Peri Peri, BBQ & Chicken Rashers , finished with a drizzle of Shawarma Sauce.",Non-Veg,Spicy
Chicken Burst,Southern Spice Chicken Burst Pizza (Med),₹849,"Ultimate 2-layered Chicken Indulgence. Stuffed inside with juicy, garlicky chicken keema & topped with a medley of Peri Peri, BBQ & Chicken Rashers , finished with a drizzle of Guntur Chilli Sauce.",Non-Veg,Spicy
Cheese Volcano,Cheese Volcano Peppy Paneer,₹329,"Centre loaded with Molten Cheese & topped with peppy Paneer, Capsicum & Red Paprika
*Contains non-edible container under the Pizza",Veg,Normal
Cheese Volcano,Cheese Volcano Farmhouse,₹329,"Centre loaded with Molten Cheese & topped with Onion, Capsicum, Tomato & Grilled Mushroom
*Contains non-edible container under the Pizza",Veg,Normal
Cheese Volcano,Cheese Volcano Veg Paradise,₹329,"Centre loaded with Molten Cheese & topped with Golden Corn, Black Olives, Capsicum & Red Paprika
*Contains non-edible container under the Pizza",Veg,Normal
Cheese Volcano,Corn & Cheese Volcano,₹329,"Centre loaded with Molten Cheese & topped with juicy Golden Corn
*Contains non-edible container under the Pizza",Veg,Normal
Cheese Volcano,Cheese Volcano BBQ Chicken,₹379,"Centre loaded with Molten Cheese & topped with Pepper BBQ Chicken
*Contains non-edible container under the Pizza",Non-Veg,Normal
Cheese Volcano,Cheese Volcano Chicken Delight,₹379,"Centre loaded with Molten Cheese & topped with Pepper BBQ Chicken & Golden Corn
*Contains non-edible container under the Pizza",Non-Veg,Normal
Cheese Volcano,Cheese Volcano Double Chicken,₹379,"Centre loaded with Molten Cheese & topped with Pepper BBQ Chicken & Peri Peri Chicken.
*Contains non-edible container under the Pizza",Non-Veg,Spicy
Cheese Volcano,Cheese Volcano Blazing Chicken,₹379,"Centre loaded with Molten Cheese & topped with Chicken Keema & Red Paprika with our spicy Peri Peri Sauce
*Contains non-edible container under the Pizza",Non-Veg,Spicy
Party Combo,Special Party for 4 (Veg) @Rs. 180 off,₹949.28,Medium Peppy Paneer + Medium Farmhouse + Garlic Bread + 2 Coke,Veg,Normal
Party Combo,Pizza Party for 4 (Veg) @Rs. 180 Off,₹1039,Meal for 4: Regular Veg Extravaganza + Regular Indi Tandoori Paneer + Regular Farmhouse + Regular Veggie Paradise,Veg,Normal
Party Combo,Party for 4 (Veg) @Rs. 130 off,₹789,Meal for 4: Medium Margherita + Medium Farmhouse with Garlic Bread & 2 Coke,Veg,Normal
Party Combo,Extravaganza Party for 2 (Veg) @Rs. 110 off,₹749.14,Regular Veg Extravaganza + Regular Indi Tandoori Paneer + Garlic Bread + Coke,Veg,Normal
Party Combo,Dominator Party for 2 (Non-Veg) @Rs. 140 off,₹859.14,Meal for 2: Regular Non Veg Supreme + Regular Chicken Dominator with Garlic Bread & Coke,Non-Veg,Normal
Party Combo,Special Party for 2 (Veg) @Rs. 105 off,₹629.44,Meal for 2: Regular Farmhouse + Regular Peppy Paneer with Garlic Bread & Coke,Veg,Normal
Party Combo,Match Day Veg Combo @Rs. 110 off,₹739.14,Meal for 2: Regular Veg Extravaganza + Regular Indi Tandoori Paneer with Chocolava Cake & Coke,Veg,Normal
Party Combo,Special Party for 2 (Non-Veg) @Rs. 115 off,₹729.14,Meal for 2: Regular Pepper BBQ Chicken + Regular Chicken Dominator with Garlic Bread & Coke,Non-Veg,Normal
Party Combo,Party for 2 (Non-Veg) @Rs. 85 off,₹579.14,Regular Pepper BBQ Chicken + Regular Chicken Sausage + Garlic Bread + Coke,Non-Veg,Normal
Party Combo,Party for 2 (Veg) @Rs. 75 off,₹489.14,Regular Margherita +Regular  Farmhouse + Garlic Bread + Coke,Veg,Normal
Party Combo,Dominator Party for 4 (Non-Veg) @Rs. 300 off,₹1189.28,Medium Non-veg Supreme + Medium Chicken Dom+ Garlic Bread + 2 Coke,Non-Veg,Normal
Value Meals,Meal for 2: Pepper BBQ Chicken & Spiced Double Chicken,₹649.14,Regular Pepper BBQ & Regular Spiced Double Chicken + Garlic Bread + Coke,Non-Veg,Normal
Value Meals,Match Day Veg Combo @Rs. 110 off,₹739.14,Meal for 2: Regular Veg Extravaganza + Regular Indi Tandoori Paneer with Chocolava Cake & Coke,Veg,Normal
Value Meals,Meal for 4: Veg Extravaganza & Indi Tandoori Paneer,₹1098.80,Medium Veg Extravaganza & Medium Indi Tandoori Paneer+Garlic Bread + 2 Coke,Veg,Normal
Value Meals,Pizza Party for 4 (Veg) @Rs. 180 Off,₹1039,Meal for 4: Regular Veg Extravaganza + Regular Indi Tandoori Paneer + Regular Farmhouse + Regular Veggie Paradise,Veg,Normal
